"RBD","NOMBRE_ESTA","DEPENDENCIA","SOSTENEDOR","REGION","COMUNA","DIRECCION","TELEFONO","E-MAIL","Discapacidad Auditiva","Discapacidad Intelectual","Discapacidad Visual","Trastornos Específicos del Lenguaje","Trastornos Motores","Autismo","Graves Alteraciones en la Capacidad de Relación y Comunicación"
16659,"ESCUELA DE LENGUAJES EDUCALEN","Particular Subvencionado","Cen. Rehabilitacion Y Esc Esp. Leng. Ltda.",7,"PENCAHUE","FERNANDO PAROT SILVA, SITIO 7B S/N","9 - 42865742","educalen@hotmail.com","no","no","no","si","no","no","no"
16661,"ESCUELA DE PARVULOS PRINCIPITO DE SANTA ANA","Particular Subvencionado","Corporación Educacional Santa Ana, Escuela De Párvulo Y Lenguaje Principito",7,"SAGRADA FAMILIA","SITIO 1Y2 SANTA ANA  S/N","75 - 978039","jardinprincipito_sfamilia@yahoo.es","no","no","no","si","no","no","no"
16663,"ESCUELA DE LENGUAJE CARACOLA","Particular Subvencionado","Soc.Educacional Los Coihues Ltda O Los Coihue",7,"TALCA","VILLA MAGISTERIO N° 127 SUR 15 1/2 PTE","71 - 2296461","caro.aravena@yahoo.com","no","no","no","si","no","no","no"
16666,"ESCUELA DE LENGUAJE RENACER","Particular Subvencionado","Rodrigo A. Gaete Tapia Serv. Educ. Eirl",7,"TALCA","22 1/2 SUR 52 TALCA","71 - 685726","escueladelenguaje.renacer@gmail.com","no","no","no","si","no","no","no"
16668,"ESCUELA ESPECIAL DE LENGUAJE NINO JESUS","Particular Subvencionado","Entidad Individual Educacional Providencia De Cauquenes",7,"CAUQUENES","VICTORIA N° 201","73 - 2514642","escuelalenguajejesus@gmail.com","no","no","no","si","no","no","no"
16671,"ESCUELA ESPECIAL DE LENGUAJE SAN ESTEBAN","Particular Subvencionado","Soc. Educacional San Esteban De Linares Limit",7,"TALCA","AVENIDA COLIN N° 962","71 - 616412","escuela.lenguaje.sanesteban@gmail.com","no","no","no","si","no","no","no"
16672,"ESCUELA ESPECIAL DE LENGUAJE ALHUE","Particular Subvencionado","Corporación Educacional Alhue",7,"TALCA","4 NORTE N° 496","71 - 2225610","escuela.alhue@gmail.com","no","no","no","si","no","no","no"
16673,"ESCUELA ESPECIAL DE LENGUAJE CLUB DE LEONES D","Particular Subvencionado","Fundacion Hogar Infantil Club De Leones Talca",7,"TALCA","14 NORTE N° 1360","71 - 2212863","caceres.ivan@gmail.com","no","no","no","si","no","no","no"
16675,"ESCUELA ESPEC. DE LENGUAJE ALFREDO GIDI JALIL","Particular Subvencionado","Soc. Educacional Alfredo Gidi Jalilie Ltda.",7,"PARRAL","ARTURO PRAT N° 161","73 - 462970","gidiescuela@hotmail.com","no","no","no","si","no","no","no"
16679,"CTRO. EDUCACIONAL Y ESC. DE LENGUAJE PABLO FR","Particular Subvencionado","Sociedad Educacional Nexos Limitada",7,"SAN JAVIER","MARTA BEZANILLA 3062 POBLACION SAN PABLO","73 - 323624","caceres.ivan@gmail.com","no","no","no","si","no","no","no"
16683,"ESCUEA ESPECIAL DE LENGUAJE MILLARAY","Particular Subvencionado","Rodrigo Mauricio Castro Mardones",7,"CURICÓ","VILLA ANDRES BELLO CALLE DUNUM N° 1871","75 - 2228802","escueladelenguajemillaray@gmail.com","no","no","no","si","no","no","no"
16686,"ESCUELA ESPECIAL DE LENGUAJE REY LEON","Particular Subvencionado","Luis A. Diaz Alarcon  Servicios Educ. Eirl",7,"TALCA","31 1/2 ORIENTE B POB.SAN LUIS II N° 535","71 - 2244245","escuelareyleon@gmail.com","no","no","no","si","no","no","no"
16687,"CENTRO PEDAGOGICO PREESCOLAR VALLE DEL MAULE","Particular Subvencionado","Lucio Silvano Gonzalez Jorquera Serv. Educ.",7,"MAULE","VILLA SANTA TERESA DE COLÌN DUAO N° 193","71 - 2297220","jardinvalledelmaule@gmail.com","no","no","no","si","no","no","no"
16689,"COLEGIO ESPECIAL DE DISCAPACIDADES MULTIPLES","Particular Subvencionado","Servicios Educacionales Marcela Alejandra Salas Gonzalez E.I.R.L.",7,"TALCA","3 NORTE 6 Y 7 OTE N° 1340","71 - 2212737","colegioensena@yahoo.com","no","si","no","no","no","no","no"
16692,"ESCUELA ESPECIAL DE LENGUAJE GIRASOL","Particular Subvencionado","Marlene Ivonne Valdes C. Esc. Esp De Leng Eir",7,"SAN JAVIER","HERNAN LOBOS ARIAS 2827 P.MANUEL MONTT","73 - 2321532","marlenvaldes@gmail.com","no","no","no","si","no","no","no"
16693,"ESCUELA ESPECIAL DE LENGUAJE SEMBRANDO PALABR","Particular Subvencionado","Sociedad De Enseñanza Y Aprend.  Montaña Azul",7,"CURICÓ","VILLA CORDILLERA CALLE 1 MANZANA A LOTE S/N","75 - 2559403","sembrando.palabras@gmail.com","no","no","no","si","no","no","no"
16694,"ESCUELA DE LENGUAJE REMOLINO","Particular Subvencionado","Sociedad Educacional Los Robles Ltda",7,"SAN CLEMENTE","LOTE A SITIO 7 EL COLORADO S/N","71 - 688734","remolino07@hotmail.com","no","no","no","si","no","no","no"
16695,"ESCUELA BASICA DE ADMINISTRACION Y COMERCIO","Particular Subvencionado","Sociedad Educacional Basica Ac. Ltda",7,"CURICÓ","FUNDO SANTA TERESA HIJUELA 2 SITIO 2, SARMIENTO, CURICO S/N","75 - 2978093","frans.sprohnle@escuelaac.cl","no","no","no","si","no","no","no"
16699,"ESCUELA ESPECIAL UNPADE","Particular Subvencionado","Padres Y Amigos De Personas Con Discapm",7,"TALCA","5 ORIENTE 14 NORTE  LOTEO PROSPERIDAD N° 80","71 - 2222441","escuelaespecialunpade@gmail.com","no","si","no","no","no","no","no"
16701,"ESC.DE LENGUAJE Y JARDIN INFANTIL NELTUME","Particular Subvencionado","Sociedad Educacional Neltumé Limitada O Neltumé Ltda.",7,"MAULE","PROVINCIA DE TALCA N° 394, DONA IGNACIA 4","71 - 310943","macarenapassalacqua@hotmail.com","no","no","no","si","no","no","no"
16702,"ESC.ESPECIAL DE LENGUAJE HABLAPALABRAS","Particular Subvencionado","Sociedad Educacional Los Alerces Limitada",7,"TALCA","2 ORIENTE 17 Y 18 SUR   COOPERATIVA EL TORO","71 - 2281417","hablapalabras@gmail.com","no","no","no","si","no","no","no"
16703,"ESCUELA ESPECIAL DE LENGUAJE MIS PRIMERAS PAL","Particular Subvencionado","Sociedad Educacional Antuco Limitada",7,"MAULE","ARTURO PRAT N° 415","71 - 715407","mariajudith_s@hotmail.com","no","no","no","si","no","no","no"
16709,"ESCUELA ESPECIAL DE LENGUAJE APRENDER","Particular Subvencionado","Soc.Educ.Fuentes Y Cia Ltda.O Soc.Educ.Nuevo",7,"MAULE","DIEGO PORTALES N° 142","9 - 96409584","aprender.escueladelenguaje@gmail.com","no","no","no","si","no","no","no"
16711,"ESCUELA DE LENGUAJE Y JARDIN INFANTIL PEQUEÑO","Particular Subvencionado","Fundación Educacional Pequeños Maestros De Licantén",7,"LICANTÉN","MATAQUITO N° 230","75 - 2529935","pm2licanten@gmail.com","no","no","no","si","no","no","no"
16718,"ESCUELA ESPECIAL DE LENGUAJE ANTONIO CASTRO A","Particular Subvencionado","Sociedad  Educacional El Alba Ltda",7,"LINARES","VILLA PILOCOYÁN, PASAJE RANCO N° 1121","73 - 2216097","moninka@educarchile.cl","no","no","no","si","no","no","no"
16721,"ESCUELA ESP. CENTRO DE INTEGRACION PADRE PIO","Particular Subvencionado","Corporación Educacional Cipp",7,"PARRAL","SAN MARTIN N° 1366","73 - 2465781","eecipp@hotmail.com","no","si","no","no","no","no","no"
16725,"ESCUELA ESPECIAL DIFERENCIAL SOL Y LUNA","Particular Subvencionado","Sociedad Educacional Duran Quintero Limitada",7,"SAN JAVIER","MANUEL ANTONIO MATTA N° 2211","73 - 325184","ee.solyluna@gmail.com","no","si","no","no","no","no","no"
16730,"ESCUELA ADMINISTRACION Y COMERCIO HUMANISTA C","Particular Subvencionado","Soc Educacional De Administracion Y Comercio",7,"CURICÓ","CHACRA SANTA MARTA S/N","75 - 2318007","luis.belmar@escuelaac.cl","no","no","no","si","no","no","no"
16731,"ESCUELA ESPECIAL DE LENGUAJE ENSEÑARTE","Particular Subvencionado","Entidad Individual Educacional Renacer",7,"CAUQUENES","AVENIDA RAMIRO MÉNDEZ N°580","73 - 2511200","escuelaensenarte@gmail.com","no","no","no","si","no","no","no"
16732,"COLEGIO ALTO PEWEN","Particular Subvencionado","Sociedad Educacional El Atardecer Spa",7,"TALCA","21 PONIENTE VILLA DOÑA FLORENCIA TALCA N° 527","71 - 299066","colegioaltopewen.talca@gmail.com","no","no","no","si","no","no","no"
16735,"ESCUELA DE LENGUAJE EL CASTILLO INFANTIL","Particular Subvencionado","Alejandro Emilio Ayet Novoa Serv.Educacionale",7,"CURICÓ","INCA DE ORO N° 0508 POBLACION PROSPERIDAD SECTOR AGUAS NEGRAS","75 - 322198","ruribegonzalez@yahoo.es","no","no","no","si","no","no","no"
16739,"CLARO DE LUNA CENTRO DE DESARROLLO COGNITIVO","Particular Subvencionado","Sociedad Educacional Claro De Luna Ltda.",7,"YERBAS BUENAS","HIJUELA Nº 2 SECTOR LAS TOSCAS KILOMETRO 10 YERBAS BUENAS.","73 - 2451197","ycarrera13@hotmail.com","no","si","no","no","no","no","no"
16740,"ESCUELA DE LENGUAJE MARIA DIZA PINO","Particular Subvencionado","Servicios Educacionales Maria Diza Fuentes Pino Eirl",7,"PARRAL","FRANCISCO BELMAR . POBLACION ARRAU MENDEZ N° 347","73 - 2462368","elmdpv@hotmail.cl","no","no","no","si","no","no","no"
16743,"ESCUELA ESPECIAL AMANECER LONGAVI","Particular Subvencionado","Sociedad Educacional Fuster Limitada",7,"LONGAVÍ","5 SUR 144 LONGAVI","0 - 96669646","maria_elena_fuster@hotmail.com","no","si","no","no","no","no","no"
16745,"ESCUELA DE LENGUAJE MARCELA PAZ","Particular Subvencionado","Corporacion Educacional Demostenes",7,"MAULE","AVDA. DIEGO PORTALES N° 625","71 - 2232953","emarcelapaz.maule@gmail.com","no","no","no","si","no","no","no"
16753,"ESCUELA ESP. LENGUAJE Y PARVULOS SAN ESTEBAN","Particular Subvencionado","Soc. Educacional San Esteban De Linares Limit",7,"LINARES","CORONEL DE ARTILLERIA N° 741","73 - 2622208","sanestebanlinares12@gmail.com","no","no","no","si","no","no","no"
16758,"ESCUELA ESPECIAL DE LENGUAJE ALTAHIR","Particular Subvencionado","Fundacion Educacional Niños Felices",7,"TALCA","33 SUR N° 336 Y 332","71 - 2313516","mtnazal@gmail.com","no","no","no","si","no","no","no"
16759,"ESC ESPECIAL DE LENGUAJE MIS PEQUEÑOS TESOROS","Particular Subvencionado","Corporación Educacional Escuela Especial De Lenguaje Mis Pequeños Tesoros Parral",7,"PARRAL","CALLE DOS SUR N° 159","73 - 2463369","emispequenostesoros@gmail.com","no","no","no","si","no","no","no"
16761,"INSTITUTO DE EDUCACION ESPECIAL CURICO","Particular Subvencionado","Soc. Centro De Educ. Ayuda Y Desarr. Integrat",7,"CURICÓ","AV DIEGO PORTALES N° 1197","75 - 2317854","contacto.inescu@gmail.com","no","si","no","no","no","no","no"
16764,"ESCUELA ESPECIAL DE LENGUAJE PALABRAS Y COLORES","Particular Subvencionado","Escuela Especial De Lenguaje Palabras Y Colores",10,"RÍO NEGRO","PEDRO AGUIRRE CERDA N° 796","64 - 202016","eleimo7@gmail.com","no","no","no","si","no","no","no"
16767,"ESCUELA ESPECIAL DE LENGUAJE AMAPOLA ALERCE","Particular Subvencionado","Escuela Especial De Lenguaje Amapola E.I.R.L.",10,"PUERTO MONTT","PEDRO DE VALDIVIA N° 1855","65 - 2356094","amapolaalerce@hotmail.com","no","no","no","si","no","no","no"
16768,"CENTRO EDUCACIONAL SONRISA DE ANGELES","Particular Subvencionado","Soc.Cent.Educ.De.Niños.Con.Sind.Down.De.Ancud.Ltda",10,"ANCUD","PROLONGACION POBLACION HUAIHUEN S/N","65 - 2623300","jaimekeating@yahoo.com","no","si","no","no","no","no","no"
16773,"ESCUELA ESPECIAL N°2424 EL  VOLANTIN","Particular Subvencionado","Sociedad Educadora El Volantin Ltda.",13,"PEÑALOLÉN","LOS REFUGIOS N° 5113","2 - 22840041","claudiagonzalezirarrazabal75@gmail.com","no","no","no","si","no","no","no"
16774,"ESCUELA ESPECIAL DE LENGUAJE SAN IGNACIO","Particular Subvencionado","Sociedad Educacional Y De Inversiones San Ignacio Ltda.",8,"SAN IGNACIO","LAS VIOLETAS 88 CAMINO PUEBLO SECO KM 8","42 - 2878698","escuelalenguajesanignacio@gmail.com","no","no","no","si","no","no","no"
16775,"ESCUELA ESPECIAL DE LENGUAJE PEQUEÑO SAFARI","Particular Subvencionado","Escuela Esp De Lenguaje Aryoli Eda Pinto Nieto Eirl",15,"ARICA","PASAJE CONSTITUCION N° 897 - POBLACION CARDENAL RAUL SILVA HENRIQUEZ","58 - 2598221","pequenosafari@hotmail.com","no","no","no","si","no","no","no"
16777,"ESCUELA  DE  PARVULOS  Y  ESPECIAL  N°197 AMARAL","Particular Subvencionado","Sociedad Educacional Marcam Y Compañia  Limitada",13,"EL MONTE","AVDA  LOS  LIBERTADORES N° 1296","2 - 28183811","escuela.amaral@gmail.com","no","no","no","si","no","no","no"
16778,"CENTRO DE FORMACION LABORAL HUELLAS","Particular Subvencionado","Sociedad Educacional Protagoniza Ltda.",8,"CORONEL","PARCELA 65, LOTE E, SECTOR VILLA VERDE","0 - 0","cflhuellas2013@gmail.com","no","si","no","no","no","no","no"
16779,"ESCUELA ESPECIAL DE LENGUAJE PALABRAS DE NIÑOS","Particular Subvencionado","Sociedad Educacional E.B.S. Limitada",8,"CORONEL","ALCALDE GABRIEL GANA NRO. 1090. CONJUNTO HABITACIONAL LA PEÑA","44 - 2855743","palabrasdeninos@gmail.com","no","no","no","si","no","no","no"
16780,"COLEGIO ALTO LAUQUÉN","Particular Subvencionado","Sociedad Adm.De Est.Educacionales Oyarce Ltda",8,"LOS ÁNGELES","AVDA. LAUQUEN N° 555","0 - 56096042","colegioaltolauquen@gmail.com","no","no","no","si","no","no","no"
16781,"ESCUELA ESPECIAL DE LENGUAJE ALTO LOS ÁNGELES","Particular Subvencionado","Serv. Educacionales Lilian Proboste E.I.R.L.",8,"LOS ÁNGELES","CARLOS CONDELL N° 826","43 - 2323025","escuela.alto.los.angeles@gmail.com","no","no","no","si","no","no","no"
16782,"ESCUELA ESPECIAL DE LENGUAJE REMOLINO","Particular Subvencionado","Sociedad Educacional Palma Salgado Ltda.",8,"SAN PEDRO DE LA PAZ","VICENTE HUIDOBRO N° 7064","41 - 2391442","escuela.remolino@gmail.com","no","no","no","si","no","no","no"
16784,"ESCUELA DIFERENCIAL CABALLITO DE MAR","Particular Subvencionado","Sociedad Educacional Olivares Montoya Ltda.",8,"CORONEL","SOLA SIERRA N° 2651","41 - 2177192","caballitodemarcoronel@gmail.com","no","si","no","no","no","no","no"
16785,"ESCUELA ESPECIAL DE  LENGUAJE LOS  CHAVITOS","Particular Subvencionado","Simon Escalona Medina Sostenedor Educacional E.I.R.L.",13,"LAMPA","AVDA  ESPAÑA N° 2484","2 - 28434073","escuelaloschavitos@gmail.com","no","no","no","si","no","no","no"
16788,"ESCUELA ESPECIAL N°197 MI  PEQUEÑO  MOZART","Particular Subvencionado","Escuela De  Lenguajemi Pequeño Mozart Spa",13,"BUIN","CALLE PADRE  HURTADO N° 418","2 - 2598855","jandrorc@hotmail.com","no","no","no","si","no","no","no"
16789,"ESCUELA ESPECIAL N°2427 CARNAVAL","Particular Subvencionado","Maria  Jose Navarrete Urbina Servicios  Educacionales  E.I.R.L",13,"MAIPÚ","AVDA PARQUE CENTRAL ORIENTE N° 1516","2 - 27272108","lenguajecarnaval@gmail.com","no","no","no","si","no","no","no"
16790,"ESCUELA  DE  PARVULOS  Y  ESPECIAL  BASILEA","Particular Subvencionado","Centro Educacional  Basilea  Limitada",13,"LA FLORIDA","TEGUALDA N° 235","2 - 27247563","direccionescuelabasilea@hotmail.com","no","no","no","si","no","no","no"
16791,"ESC. ESP. DE LENGUAJE CUMBRES DE PLACILLA","Particular Subvencionado","Soc. Educacional Cumbres De Placilla Ltda.",5,"VALPARAÍSO","MARTINEZ CRUZ, PLACILLA N° 64","32 - 2299147","v.burgos.o@gmail.com","no","no","no","si","no","no","no"
16797,"ESC. ESP. DE LENGUAJE AMANECER DE COLORES","Particular Subvencionado","Empresa Educacional De Lenguaje Pamela Vera Henriquez Eirl",5,"LLAILLAY","PASAJE LUIS FERNANDEZ. POB. PEDRO AGUIRRE CERDA N° 1152","34 - 2206411","profesorapamelavera@gmail.com","no","no","no","si","no","no","no"
16800,"ESCUELA ESPECIAL DE LENGUAJE ESMERALDA BARQUITO DE SUEÑOS","Particular Subvencionado","Corporación Educacional Esmeralda Barquito De Sueños",8,"CABRERO","FLORIDA N° 500","0 - 0","escuelalenguajeesmeralda@gmail.com","no","no","no","si","no","no","no"
16802,"ESCUELA ESPECIAL DE LENGUAJE SONRISAS","Municipal Daem","Ilustre Municipalidad De Trehuaco",8,"TREGUACO","CALLE LUIS LAMAS  S/N","42 - 2832264","escuelasonrisastrehuaco@gmail.com","no","no","no","si","no","no","no"
16803,"ESCUELA ESPECIAL DE LENGUAJE PALABRAS MAGICAS SALTO DEL LAJA","Particular Subvencionado","Sociedad Educacional Contreras Y Quezada Limitada",8,"LOS ÁNGELES","AVD. SALTO DEL LAJA N° 426","43 - 2531161","esc_leng_salto.del.laja@hotmail.com","no","no","no","si","no","no","no"
16806,"CENTRO EDUCACIONAL AYECANTUN","Particular Subvencionado","Centro Educacional Ayekantun Spa",5,"VIÑA DEL MAR","ERRAZURIZ N° 674","32 - 3175613","contacto@cea-ayekantun.cl","no","si","no","no","no","no","no"
16808,"ESCUELA  ESPECIAL N°232 EL ARCA","Particular Subvencionado","Centro Educacional Y  Escuela De Lenguaje El Arca Ltda.",13,"PUENTE ALTO","CALLE  SAN  GUILLERMO N° 466","0 - 0","lenguajeelarca@gmail.com","no","no","no","si","no","no","no"
16809,"ESCUELA  ESPECIAL N°198 LOS  GIRASOLES","Particular Subvencionado","Sociedad  Educadora Girasoles Limitada",13,"BUIN","CALLE  BALMACEDA N° 695","2 - 28215894","dani_edi_06@yahoo.es","no","no","no","si","no","no","no"
16810,"ESCUELA  ESPECIAL  N°199 EL  AROMO","Particular Subvencionado","Corporacion Educacional El Aromo De San Bernardo",13,"SAN BERNARDO","CALLE DOCTORA ERNESTINA PEREZ N° 632","0 - 25613732","elaromo199@gmail.com","no","no","no","si","no","no","no"
16811,"ESCUELA ESPECIAL N° 2430 SAN ALBERTO HURTADO","Particular Subvencionado","Corporacion Para La Inclusión De Personas Con Discapacidad Visual Y Sordociegas",13,"SANTIAGO","JOSE TORIBIO MEDINA N° 27","2 - 26722007","escuela.sanalbertohurtado@gmail.com","si","no","si","no","no","si","no"
16812,"ESCUELA ESPECIAL PARAPEQUES","Particular Subvencionado","Marisiel Cherie Muñoz  Soto Servicios  Educaccionales  E.I.R.L",13,"SAN RAMÓN","JUAN LUIS SANFUENTES N° 8338","2 - 29269852","escuelaparapeques@gmail.com","no","no","no","si","no","no","no"
16813,"ESCUELA ESPECIAL NUEVA ESPERANZA","Particular Subvencionado","Sociedad Educacional Nueva Esperanza Limitada.",5,"RINCONADA","CALLE NUEVA PARCELA 1 LOTE 2 N° S/N","34 - 2401756","escnuevaesperanza@gmail.com","no","si","no","no","no","no","no"
16814,"ESCUELA ESPECIAL N°199, MI  POLLITO  AMARILLITO","Particular Subvencionado","Sociedad Educacional Mi Pollito  Amarillito Limitada",13,"PEÑAFLOR","CALLE  MANUEL  OJEDA N° 45","2 - 28127274","mipollitoamarillito1@gmail.com","no","no","no","si","no","no","no"
16817,"ESCUELA DE LENGUAJE HABLA PALABRA","Particular Subvencionado","Corporación Educacional Habla Palabra De Curicó",7,"CURICÓ","LIQUIDAMBAR N° 2071","75 - 746265","paopolitta@hotmail.com","no","no","no","si","no","no","no"
16821,"ESCUELA ESPECIAL APRENDAMOS JUNTOS","Particular Subvencionado","Sociedad Educacioal Wachter & Zielonko Ltda.",13,"LA CISTERNA","BRASIL N° 774","2 - 29209814","escuela.aprendamosjuntos@gmail.com","no","no","no","si","no","no","no"
16823,"ESCUELA ESPECIAL N° 2433 LOS MUSICOS DE BREMEN","Particular Subvencionado","Servicios Educacionales Jose Espinosa Cornejo E.I.R.L",13,"LA PINTANA","EL NOGAL N° 10675","2 - 25166558","espinozacornejo@gmail.com","no","no","no","si","no","no","no"
16826,"ESCUELA  ESPECIAL  N°2435 AITUE","Particular Subvencionado","Sociedad Educacional Malen Limitada",13,"ESTACIÓN CENTRAL","TORO  MAZOTTE N° 1888","2 - 27795854","sostenedoras@gmail.com","no","no","no","si","no","no","no"
16827,"ESCUELA ESPECIAL Y DE PARVULOS PETIT PRINCE","Particular Subvencionado","Corporacion  Educacional Clauce",13,"LA CISTERNA","PERO N° 9079","2 - 24010349","claudiamar.s@gmail.com","no","no","no","si","no","no","no"
16828,"ESCUELA ESPECIAL ANTUMALEN N°202","Particular Subvencionado","Sociedad  Educacional Antumalen Limitada",13,"CALERA DE TANGO","LOS  CIPRESES SITIO N° 118","9 - 63065676","antumalen.escuela@gmail.com","no","no","no","si","no","no","no"
16831,"ESCUELA ESPECIAL DE LENGUAJE MARIA MONTESSORI","Particular Subvencionado","Sociedad Educacional Placilla Ltda.",6,"PLACILLA","OSCAR GAJARDO N° 2642","0 - 0","me.armijo@hotmail.com","no","no","no","si","no","no","no"
16832,"ESCUELA  ESPECIAL  2438 `PEQUEÑOS  GENIOS  DE  VALLE  GRANDE`","Particular Subvencionado","Sociedad  Educacional Crea Innova Limitada",13,"LAMPA","AVDA  LA  MONTAÑA  SUR N° 2693","9 - 88659452","escuelapequenosgenios@gmail.com","no","no","no","si","no","no","no"
16837,"ESC.ESP.N°2439, MANQUEHUE DE TIL TIL","Particular Subvencionado","Sociedad Educacional Tupahue Ltda.",13,"TILTIL","EL ATAJO N° 175","2 - 8462106","retamal1964@yahoo.es","no","no","no","si","no","no","no"
16838,"ESCUELA ESPECIAL DIFERENCIAL EXPRESION DE AMOR","Particular Subvencionado","Asociacion Expresion De Amor Por El Discapacitado De Tome",8,"TOMÉ","NUEVA ALDEA N° 2747","41 - 2650510","escuelaexpresiondeamor@gmail.com","no","si","no","no","no","no","no"
16839,"ESCUELA ESPECIAL DE LENGUAJE SAN MARCOS","Particular Subvencionado","Sociedad Educacional San Marcos Ltda.",6,"SAN VICENTE","EXEQUIEL GONZALEZ N° 476","72 - 2572227","me.armijo@hotmail.com","no","no","no","si","no","no","no"
16845,"ESCUELA ESPECIAL DE LENGUAJE SARAH KAY","Particular Subvencionado","Corporación Educacional Sarah Kay De Copihue",7,"RETIRO","CALLE SAN MARTIN - COPIHUE S/N","73 - 2625774","escuelasarahkay@gmail.com","no","no","no","si","no","no","no"
16848,"ESCUELA ESPECIAL DE LENGUAJE PALABRAS DULCES","Particular Subvencionado","Escuela De Lenguaje Palabras Dulces C.E. De Lontue",7,"MOLINA","POBLACION FRANCISCO JAVIER CORREA, LONTUE N° 2","75 - 2524213","escuelapalabrasdulces@gmail.com","no","no","no","si","no","no","no"
16858,"ESCUELA ESPECIAL DE LENGUAJE SEMILLA DE GIRASOL","Particular Subvencionado","Sociedad Educacional Semilla De Girasol Limitada",10,"ANCUD","PASAJE ROSA BARRIA VITO N° 40","65 - 2389754","escuelasemilladegirasol@gmail.com","no","no","no","si","no","no","no"
16861,"ESCUELA DE LENGUAJE DIEGO DUBLE URRUTIA","Particular Subvencionado","Sociedad Educacional El Pupitre Ltda.",6,"LITUECHE","PASAJE GABRIELA MISTRAL N° 327","2 - 22424792","gpalma2112@hotmail.com","no","no","no","si","no","no","no"
16862,"ESCUELA DE LENGUAJE AGUA SOL","Particular Subvencionado","Escuela De Lenguaje Oscar Alberto Vargas Muñoz Eirl",7,"TALCA","VILLA LAS PALMAS 14 SUR 3 PONIENTE N° 33","7 - 2643406","escuela.agua.sol@gmail.com","no","no","no","si","no","no","no"
16864,"ESCUELA ESPECIAL DE LENGUAJE PEQUEÑOS AMIGOS","Particular Subvencionado","Sociedad Educacional V Y R Ltda.",8,"CORONEL","LOS MOLINEROS N° 518","41 - 2715617","peq.amigos_direccion@live.com","no","no","no","si","no","no","no"
16865,"ESCUELA ESPECIAL DE LENGUAJE MI PEQUEÑO SUEÑO","Particular Subvencionado","Sociedad Educacional Sepulveda Y Serantoni Limitada",8,"CHILLÁN","JUAN JOSE GAZMURI N° 553","42 - 2381401","mps.chillan@gmail.com","no","no","no","si","no","no","no"
16866,"ESCUELA  ESPECIAL  N° 2440 LEONARDO  DA  VINCI","Particular Subvencionado","Sociedad Educacional Leonardo  Da Vinci Limitada",13,"HUECHURABA","AVDA.  PEDRO  FONTOVA N° 7868","2 - 22450820","palivvasquez@gmail.com","no","no","no","si","no","no","no"
16868,"ESCUELA ESPECIAL DE LENGUAJE COMUNICA","Particular Subvencionado","Hector Jorge  Hurtado Brito Servicios Educacionales Eirl",10,"OSORNO","ZENTENO N° 751","64 - 2211330","escueladelenguajecomunica@gmail.com","no","no","no","si","no","no","no"
16869,"ESCUELA ESPECIAL DE LENGUAJE EL CASTILLO DE IGNACIA","Particular Subvencionado","Sociedad Droguett Labraña Ltda.",6,"RANCAGUA","SANTA FILOMENA N° 2116","72 - 2750279","elcastillodeignacia@hotmail.com","no","no","no","si","no","no","no"
16873,"ESCUELA LENGUAJE VER Y HABLAR","Particular Subvencionado","Escuela Especial Lenguaje Gloria Peralta Eirl",14,"LA UNIÓN","CAUPOLICAN N° 1860","64 - 2321484","manuelgiovanettig@gmail.com","no","no","no","si","no","no","no"
16876,"ESCUELA DE LENGUAJE ALUN","Particular Subvencionado","Sociedad Educacional Alun Ltda.",6,"PALMILLA","JUAN GUILLERMO DAY N° 18","72 - 2600488","s.figuev@gmail.com","no","no","no","si","no","no","no"
16877,"ESCUELA DE LENGUAJE NAMASTE","Particular Subvencionado","Reyes Y Cabaña Ltda.",6,"RANCAGUA","AVENIDA RECREO, VILLA TORINO N° 1409","72 - 2756745","escuelalenguajenamaste@gmail.com","no","no","no","si","no","no","no"
16878,"ESCUELA ESPECIAL ECOLÓGICA N°2441, MAPU LIHUEN","Particular Subvencionado","Sociedad Educacional Mapu Lihuen Ltda.",13,"SAN MIGUEL","SEXTA AVENIDA N° 1580","2 - 25218203","xandryley@gmail.com","no","no","no","si","no","no","no"
16880,"ESCUELA ESPECIAL N°  203 ALTO BUIN II","Particular Subvencionado","Soc. Esc. Esp. Part. Antai Ltda.",13,"BUIN","AVDA.BAJOS DE MATTE N° 757","2 - 28214143","escuela.altobuin2@gmail.com","no","no","no","si","no","no","no"
16881,"COLEGIO FILII FUTURI","Particular Subvencionado","Corporacion Educacional Filli Futuri",5,"VALPARAÍSO","ARTURO PRAT, PLACILLA DE PEÑUELAS N° 304","32 - 2183472","diamela.rioseco@filiifuturi.cl","no","no","no","si","no","no","no"
16882,"CENTRO EDUCACIONAL INTEGRAL QUIDELL","Particular Subvencionado","Romero Y Compañia Ltda",5,"VILLA ALEMANA","MATURANA N° 208","32 - 3120737","ps.romina.r@gmail.com","no","si","no","si","no","no","no"
16883,"ESCUELA ESPECIAL EL ARBOL","Particular Subvencionado","Palomino Y Salazar Ltda.",5,"VIÑA DEL MAR","CALLE 18 DE SEPTIEMBRE, SANTA JULIA N° 90","32 - 2886272","wandapalomino@gmail.com","no","si","no","no","no","no","no"
16888,"ESCUELA ESPECIAL N° 2446 `VOCES`","Particular Subvencionado","Empresa Educ. Alejandra Charpentier Eirl",13,"MAIPÚ","CAMINO LA FARFANA N° 2072","2 - 28001959","charpentier_toledo@hotmail.com","no","no","no","si","no","no","no"
